BOTTLE,20080509JAMSTEC
EXPOCODE,SECT,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDDPT,CTDDPT_FLAG_W,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,FLUOR,FLUOR_FLAG_W,CHLORA,CHLORA_FLAG_W,CHLWELSH,CHLWELSH_W,PPHYTN,PPHYTN_FLAG_W,XMISS,XMISS_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,PH,PH_FLAG_W,PH_TMP,PH_SCALE,THETA,SIG0
,,,,,,,,UTC,DEG,DEG,M,M,,DBAR,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UG/L,,MG/CUM,,MG/CUM,,MG/CUM,,%TRANS,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,25_DEG,,DEG_C,,DEG C,KG/CUM
     49MR02K01, EQPAC,  C014,2,9,9,1,20020123,2204,0,-160.0003,5164,90,2,90,2,27.442,2,35.431,2,35.44,2,181.93,2,197.43,2,0.4,1,0.17,2,0.21,2,0.12,2,88,1,2.13,2,4.74,2,0.47,2,0.55,2,2023.6,2,8.0381,2,25, TS,27.42,22.91
     49MR02K01, EQPAC,  C014,2,10,10,1,20020123,2204,0,-160.0003,5164,100,2,101,2,27.414,2,35.432,2,35.442,2,182.24,2,195.95,2,0.4,1,0.15,2,0.19,2,0.12,2,88,1,2.13,2,4.78,2,0.42,2,0.56,2,2023,3,8.0386,2,25, TS,27.39,22.92
     49MR02K01, EQPAC,  C014,2,11,11,1,20020123,2204,0,-160.0003,5164,121,2,122,2,27.085,2,35.4,2,35.406,2,177.73,2,193.8,2,0.2,1,0.1,2,0.13,2,0.1,2,88,1,2.38,2,5.45,2,0.58,2,0.6,2,2027.5,2,8.0255,2,25, TS,27.06,23
     49MR02K01, EQPAC,  C014,2,12,12,1,20020123,2204,0,-160.0003,5164,151,2,152,2,25.686,2,35.548,2,35.568,2,145.61,2,155.72,2,0,1,0.02,2,0.02,2,0.02,2,88,1,2.78,2,9.24,2,0.18,2,0.79,2,2060.1,2,7.9809,2,25, TS,25.65,23.56
     49MR02K01, EQPAC,  C014,2,13,13,1,20020123,2204,0,-160.0003,5164,201,2,202,2,15.298,2,35.141,2,35.145,2,131.47,2,136.97,2,0,1,0,2,0.01,2,0.01,2,88,1,10.37,2,16.92,2,0.04,2,1.24,2,2130.3,2,7.8115,2,25, TS,15.27,26.02
     49MR02K01, EQPAC,  C014,2,14,14,1,20020123,2204,0,-160.0003,5164,10,2,10,2,27.905,2,35.435,2,-999,9,181.84,2,-999,9,0.2,1,0.19,2,0.22,2,0.08,2,87,1,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,27.9,22.75
     49MR02K01, EQPAC,  C014,2,15,15,1,20020123,2204,0,-160.0003,5164,21,2,21,2,27.902,2,35.434,2,-999,9,181.95,2,-999,9,0.3,1,0.18,2,0.22,2,0.09,2,87,1,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,27.9,22.76
     49MR02K01, EQPAC,  C014,2,16,16,1,20020123,2204,0,-160.0003,5164,31,2,31,2,27.894,2,35.434,2,-999,9,181.67,2,-999,9,0.5,1,0.16,2,0.2,2,0.08,2,87,1,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,27.89,22.76
     49MR02K01, EQPAC,  C014,2,17,17,1,20020123,2204,0,-160.0003,5164,41,2,41,2,27.886,2,35.433,2,-999,9,181.68,2,-999,9,0.5,1,0.16,2,0.19,2,0.08,2,87,1,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,27.88,22.76
     49MR02K01, EQPAC,  C014,2,18,18,1,20020123,2204,0,-160.0003,5164,51,2,51,2,27.861,2,35.435,2,-999,9,181.38,2,-999,9,0.6,1,-999,9,-999,9,-999,9,87,1,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,27.85,22.77
     49MR02K01, EQPAC,  C014,2,19,19,1,20020123,2204,0,-160.0003,5164,60,2,60,2,27.815,2,35.438,2,-999,9,180.86,2,-999,9,0.6,1,0.17,2,0.25,2,0.18,2,87,1,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,27.8,22.79
     49MR02K01, EQPAC,  C014,2,20,20,1,20020123,2204,0,-160.0003,5164,69,2,70,2,27.689,2,35.442,2,-999,9,180.77,2,-999,9,0.6,1,-999,9,-999,9,-999,9,87,1,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,27.67,22.83
     49MR02K01, EQPAC,  C014,2,21,21,1,20020123,2204,0,-160.0003,5164,80,2,81,2,27.565,2,35.439,2,-999,9,181.11,2,-999,9,0.5,1,0.19,2,0.23,2,0.14,2,88,1,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,27.55,22.87
